"Key","en (English)","it (Italian)","pl (Polish)","es (Spanish)","de (German)","pt (Portuguese)","fr (French)","ja (Japanese)","ru (Russian)","tr (Turkish)","ar (Arabic)","cs (Czech)","th (Thai)","id (Indonesian)","nl (Dutch)","vi (Vietnamese)","ko (Korean)","zh-Hans (ChineseSimplified)","zh-Hant (ChineseTraditional)","lt (Lithuanian)","uk (Ukrainian)","lv (Latvian)","hi (Hindi)","el (Greek)","pt-BR (Brazilian)"
"WelcomeMessage","Dear Player,


You are currently experiencing an early build of our game, and we want you to know that what you see is just the beginning.

Our team is working diligently to enhance this experience, with many exciting new features and performance improvements on the horizon.

If you find our game engaging and promising, please consider adding it to your <u><link="https://store.steampowered.com/app/2180890/Bunny_Game/"><color="lightblue">wishlist on Steam. 
</color></link></u>

This small action helps us greatly in terms of visibility and spreading the word about our game to more players like you.


Game on,

Nocebo Games","Gentile giocatore,

Stai attualmente provando una versione preliminare del nostro gioco e vogliamo che tu sappia che quello che vedi è solo l'inizio.

Il nostro team sta lavorando con impegno per migliorare questa esperienza, con molte nuove entusiasmanti funzionalità e miglioramenti delle prestazioni all'orizzonte.

Se trovi il nostro gioco coinvolgente e promettente, ti invitiamo ad aggiungerlo alla tua <u><link="https://store.steampowered.com/app/2180890/Bunny_Game/"><color="lightblue">lista dei desideri su Steam. 
</color></link></u>

Questo piccolo gesto ci aiuta enormemente in termini di visibilità e per diffondere la voce sul nostro gioco a più giocatori come te.


Nocebo Games
","Szanowny Graczu,

Obecnie doświadczasz wczesnej wersji naszej gry i chcemy, abyś wiedział, że to, co widzisz, to dopiero początek.

Nasz zespół pracuje nieustannie nad ulepszeniem tej przygody, z wieloma ekscytującymi nowymi funkcjami i ulepszeniami wydajności na horyzoncie.

Jeśli uważasz naszą grę za angażującą i obiecującą, rozważ dodanie jej do swojej <u><link="https://store.steampowered.com/app/2180890/Bunny_Game/"><color="lightblue">listy życzeń na Steam.
</color></link></u>

Ta niewielka akcja znacznie nam pomaga pod względem widoczności i rozpowszechniania informacji o naszej grze wśród graczy takich jak Ty.


Nocebo Games
","Estimado jugador,

Actualmente estás experimentando una versión preliminar de nuestro juego, y queremos que sepas que lo que ves es solo el comienzo.

Nuestro equipo está trabajando arduamente para mejorar esta experiencia, con muchas nuevas y emocionantes características y mejoras de rendimiento en el horizonte.

Si encuentras nuestro juego atractivo y prometedor, por favor considera añadirlo a tu <u><link="https://store.steampowered.com/app/2180890/Bunny_Game/"><color="lightblue">lista de deseos en Steam.
</color></link></u>

Esta pequeña acción nos ayuda enormemente en términos de visibilidad y en difundir la palabra sobre nuestro juego a más jugadores como tú.


Nocebo Games
","Lieber Spieler,

Du erlebst gerade einen frühen Entwicklungsstand unseres Spiels und wir möchten, dass du weißt, dass das, was du siehst, erst der Anfang ist.

Unser Team arbeitet fleißig daran, diese Erfahrung zu verbessern, mit vielen aufregenden neuen Funktionen und Leistungsverbesserungen am Horizont.

Wenn du unser Spiel ansprechend und vielversprechend findest, erwäge bitte, es zu deiner <u><link="https://store.steampowered.com/app/2180890/Bunny_Game/"><color="lightblue">Wunschliste auf Steam hinzuzufügen.
</color></link></u>

Diese kleine Aktion hilft uns sehr in Bezug auf Sichtbarkeit und das Verbreiten des Wortes über unser Spiel zu mehr Spielern wie dir.


Nocebo Games
","Prezado jogador,

Você está atualmente experimentando uma versão inicial do nosso jogo e queremos que você saiba que o que você vê é apenas o começo.

Nossa equipe está trabalhando diligentemente para aprimorar essa experiência, com muitos novos recursos empolgantes e melhorias de desempenho a caminho.

Se você achar nosso jogo envolvente e promissor, considere adicioná-lo à sua <u><link="https://store.steampowered.com/app/2180890/Bunny_Game/"><color="lightblue">lista de desejos no Steam.
</color></link></u>

Essa pequena ação nos ajuda muito em termos de visibilidade e a espalhar a palavra sobre o nosso jogo para mais jogadores como você.


Nocebo Games
","Cher joueur,

Vous faites actuellement l'expérience d'une version préliminaire de notre jeu, et nous tenons à vous dire que ce que vous voyez n'est que le début.

Notre équipe travaille avec assiduité pour améliorer cette expérience, avec de nombreuses nouvelles fonctionnalités passionnantes et des améliorations de performance à venir.

Si vous trouvez notre jeu engageant et prometteur, veuillez envisager de l'ajouter à votre <u><link="https://store.steampowered.com/app/2180890/Bunny_Game/"><color="lightblue">liste de souhaits sur Steam.
</color></link></u>

Cette petite action nous aide grandement en termes de visibilité et pour faire passer le mot sur notre jeu à plus de joueurs comme vous.


Nocebo Games
","親愛なるプレイヤー様、

現在、当社のゲームの初期ビルドを体験していただいており、これは始まりに過ぎないことをお知らせします。

私たちのチームは、多くのエキサイティングな新機能とパフォーマンスの向上をもたらすために、精力的に作業を進めています。

もしご自身のゲームを魅力的かつ有望だと感じたら、ぜひ<u><link="https://store.steampowered.com/app/2180890/Bunny_Game/"><color="lightblue">Steamのウィッシュリストに追加</color></link></u>をご検討ください。

この小さな行動が、より多くのプレイヤーにゲームを知ってもらうための視認性と啓蒙に大いに役立ちます。


Nocebo Games
","Уважаемый игрок,

Сейчас вы испытываете раннюю версию нашей игры, и мы хотим, чтобы вы знали, что это только начало.

Наша команда усердно работает над улучшением этого опыта, и вас ждут многие захватывающие новые функции и улучшения производительности.

Если наша игра вам интересна и многообещающа, пожалуйста, добавьте её в свой <u><link="https://store.steampowered.com/app/2180890/Bunny_Game/"><color="lightblue">список желаемого на Steam.
</color></link></u>

Это небольшое действие значительно помогает нам в плане видимости и распространения информации о нашей игре среди игроков, таких как вы.


Nocebo Games
","Sayın Oyuncu,

Şu an oyunumuzun erken bir yapısını deneyimliyorsunuz ve bunun sadece başlangıç olduğunu bilmenizi isteriz.

Ekibimiz, ufukta birçok heyecan verici yeni özellik ve performans iyileştirmeleri ile bu deneyimi geliştirmek için özveriyle çalışıyor.

Eğer oyunumuzu sürükleyici ve umut verici buluyorsanız, lütfen <u><link="https://store.steampowered.com/app/2180890/Bunny_Game/"><color="lightblue">Steam'deki dilek listenize eklemeyi</color></link></u> düşünün.

Bu küçük eylem, oyunumuzu sizin gibi daha fazla oyuncuya duyurmamız açısından büyük önem taşıyor.


Nocebo Games","عزيزي اللاعب،

أنت الآن تختبر نسخة أولية من لعبتنا، ونود أن تعلم أن ما تراه هو مجرد البداية.

فريقنا يعمل بجد لتحسين هذه التجربة، مع العديد من الميزات الجديدة المثيرة وتحسينات الأداء المتوقعة.

إذا وجدت لعبتنا جذابة وواعدة، يرجى النظر في إضافتها إلى <u><link="https://store.steampowered.com/app/2180890/Bunny_Game/"><color="lightblue">قائمة الأماني على Steam.
</color></link></u>

هذا الفعل البسيط يساعدنا كثيرًا من حيث الرؤية ونشر الكلمة عن لعبتنا للاعبين أكثر مثلك.


Nocebo Games","Vážený hráči,

Právě prožíváte ranou verzi naší hry a chceme, abyste věděli, že to, co vidíte, je teprve začátek.

Náš tým pracuje usilovně na vylepšení tohoto zážitku, s mnoha vzrušujícími novými funkcemi a výkonovými vylepšeními na obzoru.

Pokud vám naše hra připadá poutavá a slibná, zvažte prosím její přidání do vašeho <u><link="https://store.steampowered.com/app/2180890/Bunny_Game/"><color="lightblue">seznamu přání na Steamu.
</color></link></u>

Tento malý krok nám velmi pomáhá z hlediska viditelnosti a šíření slova o naší hře mezi hráče jako jste vy.


Nocebo Games","เรียนผู้เล่นที่เคารพ,

ขณะนี้คุณกำลังสัมผัสประสบการณ์เวอร์ชั่นต้นแบบของเกมของเรา และเราต้องการให้คุณทราบว่าสิ่งที่คุณเห็นนั้นเป็นเพียงจุดเริ่มต้นเท่านั้น

ทีมของเรากำลังทุ่มเทให้กับการปรับปรุงประสบการณ์นี้อย่างไม่ลดละ โดยมีคุณสมบัติใหม่ๆที่น่าตื่นเต้นและการปรับปรุงประสิทธิภาพอีกมากมายที่กำลังจะมาถึง

หากคุณพบว่าเกมของเราน่าสนใจและมีแนวโน้มที่ดี โปรดพิจารณาเพิ่มมันไปยัง<u><link="https://store.steampowered.com/app/2180890/Bunny_Game/"><color="lightblue">สิ่งที่อยากได้ใน Steam ของคุณ
</color></link></u>

การกระทำเล็กๆน้อยๆนี้ช่วยเราได้มากในเรื่องของการเห็นและการเผยแพร่เกมของเราให้กับผู้เล่นเช่นคุณ


Nocebo Games
","Kepada Pemain yang terhormat,

Saat ini Anda sedang mencoba build awal dari game kami, dan kami ingin Anda tahu bahwa apa yang Anda lihat ini hanyalah permulaan.

Tim kami bekerja keras untuk meningkatkan pengalaman ini, dengan banyak fitur baru yang menarik dan peningkatan performa yang akan datang.
